ts,name,x,y,z
37305.1,left_thumb,0.415501,0.617407,-0.036759
37305.1,left_index,0.416473,0.408633,-0.045620
37305.1,left_middle,0.380031,0.309021,-0.046535
37305.1,left_ring,0.313909,0.285446,-0.063855
37305.1,left_pinky,0.191467,0.319302,-0.069498
37330.1,right_thumb,0.545716,0.586216,-0.042625
37330.1,right_index,0.545746,0.379982,-0.051724
37330.1,right_middle,0.606862,0.281978,-0.058530
37330.1,right_ring,0.672139,0.270915,-0.075864
37330.1,right_pinky,0.794279,0.310103,-0.085875
37330.1,left_thumb,0.415441,0.617746,-0.036663
37330.1,left_index,0.416579,0.408777,-0.045415
37330.1,left_middle,0.380195,0.309299,-0.046314
37330.1,left_ring,0.314057,0.285862,-0.063667
37330.1,left_pinky,0.191760,0.319504,-0.069300
37355.1,right_thumb,0.545819,0.586152,-0.042882
37355.1,right_index,0.545817,0.380238,-0.051955
37355.1,right_middle,0.607030,0.282047,-0.058664
37355.1,right_ring,0.672335,0.271026,-0.075916
37355.1,right_pinky,0.794418,0.310342,-0.085889
37355.1,left_thumb,0.415432,0.617961,-0.036673
37355.1,left_index,0.416680,0.408895,-0.045291
37355.1,left_middle,0.380346,0.309579,-0.046161
37355.1,left_ring,0.314182,0.286278,-0.063524
37355.1,left_pinky,0.192045,0.319769,-0.069135
37380.2,right_thumb,0.545850,0.586219,-0.042962
37380.2,right_index,0.545850,0.380484,-0.052036
37380.2,right_middle,0.607123,0.282112,-0.058669
37380.2,right_ring,0.672436,0.271146,-0.075918
37380.2,right_pinky,0.794575,0.310639,-0.085885
37380.2,left_thumb,0.415471,0.618353,-0.036769
37380.2,left_index,0.416910,0.409012,-0.045310
37380.2,left_middle,0.380484,0.309893,-0.046110
37380.2,left_ring,0.314277,0.286819,-0.063345
37380.2,left_pinky,0.192376,0.319969,-0.068888
37396.4,right_thumb,0.545871,0.586278,-0.043100
37396.4,right_index,0.545875,0.380670,-0.052155
37396.4,right_middle,0.607196,0.282129,-0.058718
37396.4,right_ring,0.672514,0.271192,-0.075931
37396.4,right_pinky,0.794593,0.310818,-0.085877
37396.4,left_thumb,0.415503,0.618564,-0.036852
37396.4,left_index,0.417073,0.409117,-0.045368
37396.4,left_middle,0.380581,0.310144,-0.046172
37396.4,left_ring,0.314368,0.287349,-0.063344
37396.4,left_pinky,0.192624,0.320206,-0.068866
37412.6,right_thumb,0.545925,0.586274,-0.043141
37412.6,right_index,0.545888,0.380803,-0.052190
